title,36,25,1572,72,TOI_0083.png,1650,2567
article,560,113,1045,966,TOI_0083.png,1650,2567
article,42,119,488,1032,TOI_0083.png,1650,2567
article,36,1166,488,671,TOI_0083.png,1650,2567
article,42,1852,480,650,TOI_0083.png,1650,2567
article,562,1098,1054,669,TOI_0083.png,1650,2567
article,560,2056,1064,454,TOI_0083.png,1650,2567
non-article,1354,1780,248,261,TOI_0083.png,1650,2567
non-article,562,1779,769,255,TOI_0083.png,1650,2567
title,38,29,1575,67,TOI_0084.png,1650,2567
article,52,123,287,831,TOI_0084.png,1650,2567
article,352,104,858,839,TOI_0084.png,1650,2567
non-article,1227,108,374,295,TOI_0084.png,1650,2567
article,1231,412,378,871,TOI_0084.png,1650,2567
article,40,966,1170,316,TOI_0084.png,1650,2567
non-article,42,1306,1568,1232,TOI_0084.png,1650,2567
title,46,31,1585,215,TOI_0085.png,1650,2567
article,41,260,979,907,TOI_0085.png,1650,2567
article,1034,265,568,1380,TOI_0085.png,1650,2567
article,37,1182,983,465,TOI_0085.png,1650,2567
article,1034,1664,566,852,TOI_0085.png,1650,2567
article,41,2167,972,334,TOI_0085.png,1650,2567
article,638,1673,375,473,TOI_0085.png,1650,2567
article,44,1664,575,482,TOI_0085.png,1650,2567
title,44,21,1565,202,TOI_0086.png,1650,2567
article,40,242,782,582,TOI_0086.png,1650,2567
article,842,240,191,1002,TOI_0086.png,1650,2567
article,1049,246,557,1000,TOI_0086.png,1650,2567
article,849,1262,760,478,TOI_0086.png,1650,2567
article,254,1330,565,412,TOI_0086.png,1650,2567
article,254,850,571,455,TOI_0086.png,1650,2567
article,40,841,191,900,TOI_0086.png,1650,2567
article,44,1765,351,741,TOI_0086.png,1650,2567
non-article,413,1754,1191,771,TOI_0086.png,1650,2567
title,31,28,1594,52,TOI_0087.png,1650,2567
article,46,108,749,821,TOI_0087.png,1650,2567
article,815,95,205,834,TOI_0087.png,1650,2567
article,1036,95,577,717,TOI_0087.png,1650,2567
article,1040,832,572,488,TOI_0087.png,1650,2567
article,44,955,974,367,TOI_0087.png,1650,2567
article,46,1334,1561,1184,TOI_0087.png,1650,2567
title,41,0,1573,223,TOI_0088.png,1650,2567
article,41,233,1581,960,TOI_0088.png,1650,2567
article,46,1209,1567,594,TOI_0088.png,1650,2567
article,41,1824,287,346,TOI_0088.png,1650,2567
article,41,2182,280,322,TOI_0088.png,1650,2567
article,340,2186,241,309,TOI_0088.png,1650,2567
article,1099,1824,509,680,TOI_0088.png,1650,2567
title,49,26,1562,57,TOI_0089.png,1650,2567
article,47,99,974,641,TOI_0089.png,1650,2567
article,1236,101,379,637,TOI_0089.png,1650,2567
article,1031,105,197,643,TOI_0089.png,1650,2567
article,43,761,227,258,TOI_0089.png,1650,2567
article,45,1035,227,254,TOI_0089.png,1650,2567
article,293,759,734,528,TOI_0089.png,1650,2567
article,1041,763,568,530,TOI_0089.png,1650,2567
article,455,1317,388,576,TOI_0089.png,1650,2567
article,855,1313,540,666,TOI_0089.png,1650,2567
article,49,1309,385,594,TOI_0089.png,1650,2567
article,51,1930,383,576,TOI_0089.png,1650,2567
article,459,1914,381,590,TOI_0089.png,1650,2567
article,853,2009,335,497,TOI_0089.png,1650,2567
article,1210,2007,189,499,TOI_0089.png,1650,2567
article,1419,1311,191,1192,TOI_0089.png,1650,2567
article,12,1863,881,643,TOI_0090.png,1590,2514
article,921,1643,655,842,TOI_0090.png,1590,2514
article,996,245,580,1384,TOI_0090.png,1590,2514
title,363,17,1217,191,TOI_0090.png,1590,2514
non-article,12,991,1575,1516,TOI_0091.png,1590,2514
article,346,73,603,414,TOI_0091.png,1590,2514
non-article,19,59,298,438,TOI_0091.png,1590,2514
non-article,21,509,305,466,TOI_0091.png,1590,2514
non-article,332,497,617,149,TOI_0091.png,1590,2514
non-article,338,657,615,75,TOI_0091.png,1590,2514
non-article,338,742,611,235,TOI_0091.png,1590,2514
title,9,13,1572,44,TOI_0091.png,1590,2514
article,973,93,600,888,TOI_0091.png,1590,2514
non-article,20,1317,1555,1182,TOI_0092.png,1590,2514
non-article,811,93,761,1201,TOI_0092.png,1590,2514
article,20,82,774,1212,TOI_0092.png,1590,2514
title,10,6,1574,57,TOI_0092.png,1590,2514
non-article,15,1799,1564,684,TOI_0093.png,1590,2514
non-article,410,74,1162,1709,TOI_0093.png,1590,2514
non-article,20,72,375,1709,TOI_0093.png,1590,2514
title,7,10,1574,42,TOI_0093.png,1590,2514
